instance,tabu_tenure,cost,optimal_cost,gap,time
E-n13-k4.vrp,5,290.0,247,17.408906882591094,7.765171051025391
E-n13-k4.vrp,10,290.0,247,17.408906882591094,7.266495704650879
E-n13-k4.vrp,20,290.0,247,17.408906882591094,7.167218208312988
E-n13-k4.vrp,30,290.0,247,17.408906882591094,7.26850962638855
E-n13-k4.vrp,50,290.0,247,17.408906882591094,7.478379249572754
A-n32-k5.vrp,5,865.6508318252038,784,10.414646916480077,30.06535840034485
A-n32-k5.vrp,10,865.6508318252038,784,10.414646916480077,30.37313413619995
A-n32-k5.vrp,20,865.6508318252038,784,10.414646916480077,30.36982035636902
A-n32-k5.vrp,30,865.6508318252038,784,10.414646916480077,30.45276927947998
A-n32-k5.vrp,50,865.6508318252038,784,10.414646916480077,30.06129264831543
B-n31-k5.vrp,5,676.0884122584414,672,0.6083946813156836,30.03526258468628
B-n31-k5.vrp,10,676.0884122584414,672,0.6083946813156836,30.045564889907837
B-n31-k5.vrp,20,676.0884122584414,672,0.6083946813156836,30.356459617614746
B-n31-k5.vrp,30,676.0884122584414,672,0.6083946813156836,30.306870698928833
B-n31-k5.vrp,50,676.0884122584414,672,0.6083946813156836,30.380123615264893
P-n16-k8.vrp,5,451.9470921298185,450,0.43268713995966357,18.86926007270813
P-n16-k8.vrp,10,451.9470921298185,450,0.43268713995966357,18.938815116882324
P-n16-k8.vrp,20,451.9470921298185,450,0.43268713995966357,18.96037530899048
P-n16-k8.vrp,30,451.9470921298185,450,0.43268713995966357,2856.217751979828
P-n16-k8.vrp,50,451.9470921298185,450,0.43268713995966357,21.738380908966064
