Configuration,Iteration,Cout_Moyen,Cout_Median,Ecart_Type,IC_85_Bas,IC_85_Haut
"Temp=500.0, RF=0.05, Tabu=5",0,4100.0,4100.0,0.0,4100.0,4100.0
"Temp=500.0, RF=0.05, Tabu=5",1,4099.94431466064,4099.946019512859,0.009100289348652865,4099.931210243978,4099.957419077302
"Temp=500.0, RF=0.05, Tabu=5",2,4099.77725864256,4099.784078051433,0.03640115739376182,4099.724840975913,4099.829676309207
"Temp=500.0, RF=0.05, Tabu=5",3,4099.49883194576,4099.514175615725,0.08190260413651612,4099.380892195803,4099.616771695716
"Temp=500.0, RF=0.05, Tabu=5",4,4099.1090345702405,4099.136312205734,0.14560462957612297,4098.899363903651,4099.31870523683
"Temp=500.0, RF=0.05, Tabu=5",5,4098.607866516001,4098.650487821458,0.2275072337129787,4098.280256099454,4098.935476932548
"Temp=500.0, RF=0.05, Tabu=5",6,4097.995327783042,4098.0567024629,0.32761041654634737,4097.5235687832155,4098.467086782868
"Temp=500.0, RF=0.05, Tabu=5",7,4097.271418371362,4097.354956130059,0.44591417807736133,4096.629301954931,4097.913534787794
"Temp=500.0, RF=0.05, Tabu=5",8,4096.436138280963,4096.545248822933,0.5824185183049728,4095.597455614604,4097.274820947322
"Temp=500.0, RF=0.05, Tabu=5",9,4095.4894875118443,4095.627580541525,0.737123437229522,4094.428029762234,4096.550945261455
"Temp=500.0, RF=0.05, Tabu=5",10,4094.4314660640052,4094.6019512858334,0.9100289348515184,4093.121024397819,4095.7419077301915
"Temp=500.0, RF=0.05, Tabu=5",11,4093.262073937447,4093.468361055858,1.101135011170169,4091.6764395213618,4094.847708353532
"Temp=500.0, RF=0.05, Tabu=5",12,4091.981311132168,4092.2268098516,1.3104416661860971,4090.09427513286,4093.8683471314757
"Temp=500.0, RF=0.05, Tabu=5",13,4090.5891776481694,4090.8772976730584,1.5379488998988775,4088.374531232315,4092.803824064024
"Temp=500.0, RF=0.05, Tabu=5",14,4089.085673485451,4089.4198245202333,1.7836567123087088,4086.5172078197265,4091.6541391511755
"Temp=500.0, RF=0.05, Tabu=5",15,4087.470798644013,4087.854390393125,2.0475651034156193,4084.5223048950947,4090.4192923929313
"Temp=500.0, RF=0.05, Tabu=5",16,4085.744553123854,4086.1809952917333,2.32967407321958,4082.3898224584177,4089.0992837892904
"Temp=500.0, RF=0.05, Tabu=5",17,4083.906936924976,4084.3996392160584,2.6299836217206205,4080.119760509698,4087.694113340254
"Temp=500.0, RF=0.05, Tabu=5",18,4081.9579500473787,4082.5103221661,2.948493748918711,4077.7121190489356,4086.203781045822
"Temp=500.0, RF=0.05, Tabu=5",19,4079.8975924910605,4080.5130441418582,3.2852044548136545,4075.1668980761287,4084.6282869059924
"Temp=500.0, RF=0.05, Tabu=5",20,4077.7258642560228,4078.4078051433335,3.6401157394056773,4072.4840975912784,4082.967630920767
"Temp=500.0, RF=0.05, Tabu=5",21,4075.4427653422645,4076.194605170525,4.013227602694751,4069.6637175943843,4081.2218130901447
"Temp=500.0, RF=0.05, Tabu=5",22,4073.0482957497866,4073.8734442234336,4.404540044680903,4066.705758085446,4079.390833414127
"Temp=500.0, RF=0.05, Tabu=5",23,4070.5424554785895,4071.4443223020585,4.814053065364106,4063.610219064465,4077.474691892714
"Temp=500.0, RF=0.05, Tabu=5",24,4067.9252445286725,4068.9072394064,5.2417666647439916,4060.377100531441,4075.473388525904
"Temp=500.0, RF=0.05, Tabu=5",25,4065.1966629000344,4066.2621955364584,5.687680842821495,4057.0064024863714,4073.3869233136975
"Temp=500.0, RF=0.05, Tabu=5",26,4062.3567105926777,4063.5091906922335,6.15179559959551,4053.49812492926,4071.2152962560954
"Temp=500.0, RF=0.05, Tabu=5",27,4059.405387606601,4060.648224873725,6.6341109350669445,4049.8522678601043,4068.9585073530975
"Temp=500.0, RF=0.05, Tabu=5",28,4056.3426939418036,4057.6792980809337,7.13462684923509,4046.0688312789052,4066.616556604702
"Temp=500.0, RF=0.05, Tabu=5",29,4053.168629598287,4054.6024103138584,7.653343342100258,4042.1478151856627,4064.1894440109118
"Temp=500.0, RF=0.05, Tabu=5",30,4049.8831945760503,4051.4175615725003,8.190260413662703,4038.089219580376,4061.677169571725
"Temp=500.0, RF=0.05, Tabu=5",31,4046.4863888750933,4048.1247518568584,8.745378063922,4033.8930444630455,4059.079733287141
"Temp=500.0, RF=0.05, Tabu=5",32,4042.9782124954168,4044.7239811669338,9.318696292878576,4029.5592898336718,4056.3971351571618
"Temp=500.0, RF=0.05, Tabu=5",33,4039.358665437021,4041.2152495027253,9.910215100531806,4025.087955692255,4053.629375181787
"Temp=500.0, RF=0.05, Tabu=5",34,4035.6277476999044,4037.5985568642336,10.519934486882281,4020.479042038794,4050.776453361015
"Temp=500.0, RF=0.05, Tabu=5",35,4031.7854592840686,4033.8739032514586,11.147854451929842,4015.7325488732895,4047.8383696948476
"Temp=500.0, RF=0.05, Tabu=5",36,4027.8318001895127,4030.0412886644003,11.793974995674448,4010.8484761957416,4044.815124183284
"Temp=500.0, RF=0.05, Tabu=5",37,4023.7667704162363,4026.1007131030588,12.458296118115937,4005.8268240061493,4041.7067168263234
"Temp=500.0, RF=0.05, Tabu=5",38,4019.5903699642404,4022.0521765674334,13.14081781925445,4000.667592304514,4038.5131476239667
"Temp=500.0, RF=0.05, Tabu=5",39,4015.302598833525,4017.8956790575253,13.841540099090068,3995.370781090835,4035.2344165762147
"Temp=500.0, RF=0.05, Tabu=5",40,4010.903457024089,4013.631220573334,14.560462957622567,3989.936390365113,4031.8705236830656
