Température Initiale,Facteur Réaction,Durée Tabou,Coût Final Moyen,Écart-Type Coût,Temps Moyen (s),Nombre Répétitions
500.0,0.05,5,3554.2279889331876,89.19193590478713,10.0,3
500.0,0.05,10,3636.102617757133,99.47139959215775,10.0,3
500.0,0.05,20,3648.4177185092462,79.81256492196415,10.0,3
500.0,0.1,5,3648.7720954894344,108.24369773020972,10.0,3
500.0,0.1,10,3695.745198551083,145.913421137697,10.0,3
500.0,0.1,20,3619.7705928178207,82.71979899014505,10.0,3
500.0,0.2,5,3643.9586450994652,93.9442630250015,10.0,3
500.0,0.2,10,3627.0183833300594,9.143887952959323,10.0,3
500.0,0.2,20,3632.707581250272,116.9316576514762,10.0,3
1000.0,0.05,5,3706.049612972774,88.215408386675,10.0,3
1000.0,0.05,10,3650.63460790371,122.68910660635004,10.0,3
1000.0,0.05,20,3762.4541982255782,69.70577925936146,10.0,3
1000.0,0.1,5,3626.475978670494,106.23042055344402,10.0,3
1000.0,0.1,10,3646.5585077531323,62.00011558021377,10.0,3
1000.0,0.1,20,3779.341853878108,99.80148000721145,10.0,3
1000.0,0.2,5,3560.4257824537694,50.04491661633329,10.0,3
1000.0,0.2,10,3600.596561084587,51.65874113152722,10.0,3
1000.0,0.2,20,3849.845874633926,56.368004908707704,10.0,3
2000.0,0.05,5,3685.193710692603,30.008073245501592,10.0,3
2000.0,0.05,10,3741.777356131113,67.74064931661962,10.0,3
2000.0,0.05,20,3925.2530989965126,149.09089346071391,10.0,3
2000.0,0.1,5,3803.7894423674184,100.50529683232439,10.0,3
2000.0,0.1,10,3772.8251713121954,132.3954325065308,10.0,3
2000.0,0.1,20,3833.313336351666,125.69935705984676,10.0,3
2000.0,0.2,5,3827.529125899208,110.37281303191365,10.0,3
2000.0,0.2,10,3848.5125724304594,108.90760877075957,10.0,3
2000.0,0.2,20,3812.2820881762186,77.41405299875345,10.0,3
