Configuration,Iteration,Cout_Moyen,Cout_Median,Ecart_Type,IC_85_Bas,IC_85_Haut
"Temp=500.0, RF=0.05, Tabu=5",0,18100.0,18100.0,0.0,18100.0,18100.0
"Temp=500.0, RF=0.05, Tabu=5",1,18099.75416959941,18099.76169589823,0.040174448099559404,18099.696318394148,18099.812020804675
"Temp=500.0, RF=0.05, Tabu=5",2,18099.016678397646,18099.046783592912,0.16069779239755608,18098.785273576592,18099.2480832187
"Temp=500.0, RF=0.05, Tabu=5",3,18097.787526394695,18097.855263084053,0.3615700328962573,18097.266865547324,18098.308187242066
"Temp=500.0, RF=0.05, Tabu=5",4,18096.06671359057,18096.187134371652,0.6427911695922643,18095.14109430636,18096.992332874783
"Temp=500.0, RF=0.05, Tabu=5",5,18093.854239985274,18094.042397455705,1.0043612024882944,18092.407959853692,18095.300520116856
"Temp=500.0, RF=0.05, Tabu=5",6,18091.150105578796,18091.421052336216,1.4462801315834433,18089.067462189316,18093.232748968276
"Temp=500.0, RF=0.05, Tabu=5",7,18087.954310371137,18088.323099013185,1.968547956877484,18085.119601313232,18090.78901942904
"Temp=500.0, RF=0.05, Tabu=5",8,18084.2668543623,18084.74853748661,2.571164678370416,18080.564377225448,18087.969331499153
"Temp=500.0, RF=0.05, Tabu=5",9,18080.08773755229,18080.69736775649,3.2541302960620127,18075.40178992596,18084.77368517862
"Temp=500.0, RF=0.05, Tabu=5",10,18075.416959941096,18076.169589822824,4.017444809953859,18069.631839414764,18081.20208046743
"Temp=500.0, RF=0.05, Tabu=5",11,18070.25452152873,18071.165203685618,4.861108220044597,18063.254525691864,18077.254517365593
"Temp=500.0, RF=0.05, Tabu=5",12,18064.60042231518,18065.68420934487,5.785120526332869,18056.26984875726,18072.9309958731
"Temp=500.0, RF=0.05, Tabu=5",13,18058.454662300453,18059.726606800574,6.78948172882275,18048.677808610948,18068.23151598996
"Temp=500.0, RF=0.05, Tabu=5",14,18051.81724148455,18053.292396052737,7.874191827508577,18040.47840525294,18063.15607771616
"Temp=500.0, RF=0.05, Tabu=5",15,18044.68815986747,18046.381577101358,9.039250822396241,18031.67163868322,18057.70468105172
"Temp=500.0, RF=0.05, Tabu=5",16,18037.067417449212,18038.994149946433,10.284658713481209,18022.2575089018,18051.877325996626
"Temp=500.0, RF=0.05, Tabu=5",17,18028.95501422977,18031.130114587966,11.610415500766656,18012.236015908667,18045.674012550873
"Temp=500.0, RF=0.05, Tabu=5",18,18020.35095020916,18022.789471025953,13.016521184249182,18001.60715970384,18039.094740714478
"Temp=500.0, RF=0.05, Tabu=5",19,18011.255225387362,18013.9722192604,14.502975763932184,17990.3709402873,18032.139510487425
"Temp=500.0, RF=0.05, Tabu=5",20,18001.66783976439,18004.6783592913,16.069779239815663,17978.527357659055,18024.80832186972
"Temp=500.0, RF=0.05, Tabu=5",21,17991.58879334024,17994.90789111866,17.716931611896225,17966.07641181911,18017.10117486137
"Temp=500.0, RF=0.05, Tabu=5",22,17981.018086114913,17984.660814742474,19.44443288017726,17953.01810276746,18009.018069462367
"Temp=500.0, RF=0.05, Tabu=5",23,17969.955718088408,17973.937130162747,21.252283044655602,17939.352430504103,18000.559005672712
"Temp=500.0, RF=0.05, Tabu=5",24,17958.40168926072,17962.736837379474,23.140482105332836,17925.079395029043,17991.7239834924
"Temp=500.0, RF=0.05, Tabu=5",25,17946.35599963186,17951.05993639266,25.109030062211904,17910.19899634228,17982.513002921445
"Temp=500.0, RF=0.05, Tabu=5",26,17933.818649201818,17938.9064272023,27.157926915286694,17894.711234443806,17972.92606395983
"Temp=500.0, RF=0.05, Tabu=5",27,17920.789637970604,17926.276309808396,29.287172664563318,17878.616109333634,17962.963166607573
"Temp=500.0, RF=0.05, Tabu=5",28,17907.268965938205,17913.16958421095,31.49676731003748,17861.91362101175,17952.62431086466
"Temp=500.0, RF=0.05, Tabu=5",29,17893.256633104636,17899.58625040996,33.786710851710296,17844.603769478173,17941.9094967311
"Temp=500.0, RF=0.05, Tabu=5",30,17878.75263946988,17885.526308405428,36.157003289584964,17826.686554732878,17930.81872420688
"Temp=500.0, RF=0.05, Tabu=5",31,17863.75698503395,17870.989758197353,38.60764462365716,17808.161976775882,17919.351993292017
"Temp=500.0, RF=0.05, Tabu=5",32,17848.269669796842,17855.976599785732,41.13863485392801,17789.030035607186,17907.5093039865
"Temp=500.0, RF=0.05, Tabu=5",33,17832.290693758554,17840.486833170566,43.749973980397534,17769.29073122678,17895.290656290326
"Temp=500.0, RF=0.05, Tabu=5",34,17815.820056919092,17824.52045835186,46.44166200306481,17748.944063634677,17882.696050203507
"Temp=500.0, RF=0.05, Tabu=5",35,17798.857759278446,17808.07747532961,49.213698921933705,17727.99003283086,17869.72548572603
"Temp=500.0, RF=0.05, Tabu=5",36,17781.40380083663,17791.157884103817,52.06608473700148,17706.42863881535,17856.37896285791
"Temp=500.0, RF=0.05, Tabu=5",37,17763.45818159363,17773.76168467448,54.99881944826657,17684.259881588125,17842.656481599133
"Temp=500.0, RF=0.05, Tabu=5",38,17745.02090154945,17755.888877041598,58.0119030557335,17661.483761149197,17828.558041949706
"Temp=500.0, RF=0.05, Tabu=5",39,17726.0919607041,17737.53946120517,61.105335559397496,17638.100277498568,17814.08364390963
"Temp=500.0, RF=0.05, Tabu=5",40,17706.671359057567,17718.713437165206,64.27911695926085,17614.109430636232,17799.233287478903
"Temp=500.0, RF=0.05, Tabu=5",41,17686.759096609854,17699.410804921692,67.53324725532264,17589.511220562188,17784.00697265752
"Temp=500.0, RF=0.05, Tabu=5",42,17666.355173360964,17679.63156447464,70.86772644758511,17564.30564727644,17768.404699445487
"Temp=500.0, RF=0.05, Tabu=5",43,17645.4595893109,17659.37571582404,74.28255453604605,17538.492710778995,17752.426467842804
"Temp=500.0, RF=0.05, Tabu=5",44,17624.072344459655,17638.643258969896,77.77773152070587,17512.07241106984,17736.07227784947
"Temp=500.0, RF=0.05, Tabu=5",45,17602.19343880723,17617.434193912213,81.35325740156482,17485.044748148975,17719.342129465484
"Temp=500.0, RF=0.05, Tabu=5",46,17579.82287235363,17595.748520650985,85.00913217862241,17457.409722016415,17702.236022690846
"Temp=500.0, RF=0.05, Tabu=5",47,17556.96064509885,17573.58623918621,88.7453558518789,17429.167332672143,17684.753957525558
"Temp=500.0, RF=0.05, Tabu=5",48,17533.606757042897,17550.947349517894,92.56192842133564,17400.317580116174,17666.89593396962
"Temp=500.0, RF=0.05, Tabu=5",49,17509.76120818576,17527.831851646035,96.45884988699129,17370.86046434849,17648.661952023027
"Temp=500.0, RF=0.05, Tabu=5",50,17485.423998527443,17504.23974557063,100.43612024884422,17340.795985369106,17630.05201168578
"Temp=500.0, RF=0.05, Tabu=5",51,17460.595128067955,17480.171031291688,104.49373950689922,17310.124143178018,17611.06611295789
"Temp=500.0, RF=0.05, Tabu=5",52,17435.274596807285,17455.625708809195,108.63170766114972,17278.84493777523,17591.70425583934
"Temp=500.0, RF=0.05, Tabu=5",53,17409.462404745438,17430.603778123164,112.85002471160229,17246.95836916073,17571.966440330147
"Temp=500.0, RF=0.05, Tabu=5",54,17383.158551882414,17405.105239233584,117.14869065825191,17214.464437334533,17551.852666430295
"Temp=500.0, RF=0.05, Tabu=5",55,17356.363038218205,17379.130092140465,121.52770550110228,17181.363142296617,17531.362934139794
"Temp=500.0, RF=0.05, Tabu=5",56,17329.07586375283,17352.6783368438,125.98706924015127,17147.654484047012,17510.49724345865
"Temp=500.0, RF=0.05, Tabu=5",57,17301.297028486268,17325.749973343594,130.5267818753992,17113.338462585692,17489.255594386843
"Temp=500.0, RF=0.05, Tabu=5",58,17273.02653241853,17298.345001639842,135.14684340684573,17078.415077912672,17467.63798692439
"Temp=500.0, RF=0.05, Tabu=5",59,17244.264375549614,17270.463421732547,139.8472538344912,17042.884330027948,17445.64442107128
"Temp=500.0, RF=0.05, Tabu=5",60,17215.010557879523,17242.10523362171,144.62801315833713,17006.746218931516,17423.27489682753
"Temp=500.0, RF=0.05, Tabu=5",61,17185.26507940825,17213.27043730733,149.48912137838172,16970.000744623383,17400.52941419312
"Temp=500.0, RF=0.05, Tabu=5",62,17155.027940135802,17183.959032789404,154.43057849462386,16932.647907103543,17377.40797316806
"Temp=500.0, RF=0.05, Tabu=5",63,17124.299140062172,17154.171020067937,159.45238450706623,16894.687706372,17353.910573752346
"Temp=500.0, RF=0.05, Tabu=5",64,17093.07867918737,17123.906399142925,164.5545394157075,16856.12014242875,17330.037215945988
"Temp=500.0, RF=0.05, Tabu=5",65,17061.366557511385,17093.16517001437,169.73704322054743,16816.945215273798,17305.78789974897
"Temp=500.0, RF=0.05, Tabu=5",66,17029.16277503422,17061.94733268227,174.99989592158786,16777.162924907134,17281.162625161305
"Temp=500.0, RF=0.05, Tabu=5",67,16996.46733175588,17030.252887146627,180.3430975188256,16736.773271328773,17256.16139218299
"Temp=500.0, RF=0.05, Tabu=5",68,16963.280227676365,16998.081833407443,185.76664801226354,16695.776254538705,17230.784200814025
"Temp=500.0, RF=0.05, Tabu=5",69,16929.601462795672,16965.434171464713,191.27054740190042,16654.171874536936,17205.031051054408
"Temp=500.0, RF=0.05, Tabu=5",70,16895.431037113794,16932.30990131844,196.85479568773616,16611.960131323456,17178.901942904133
"Temp=500.0, RF=0.05, Tabu=5",71,16860.768950630743,16898.709022968622,202.51939286977057,16569.141024898272,17152.396876363215
"Temp=500.0, RF=0.05, Tabu=5",72,16825.61520334651,16864.63153641526,208.26433894800547,16525.714555261384,17125.51585143164
"Temp=500.0, RF=0.05, Tabu=5",73,16789.969795261102,16830.07744165836,214.0896339224379,16481.68072241279,17098.258868109413
"Temp=500.0, RF=0.05, Tabu=5",74,16753.832726374516,16795.046738697914,219.9952777930706,16437.039526352495,17070.625926396537
"Temp=500.0, RF=0.05, Tabu=5",75,16717.203996686756,16759.539427533924,225.98127055990196,16391.7909670805,17042.617026293014
"Temp=500.0, RF=0.05, Tabu=5",76,16680.083606197808,16723.555508166388,232.04761222293058,16345.935044596788,17014.23216779883
"Temp=500.0, RF=0.05, Tabu=5",77,16642.47155490769,16687.094980595313,238.1943027821613,16299.471758901378,16985.471350914002
"Temp=500.0, RF=0.05, Tabu=5",78,16604.36784281639,16650.157844820693,244.42134223758933,16252.401109994262,16956.33457563852
"Temp=500.0, RF=0.05, Tabu=5",79,16565.772469923915,16612.744100842527,250.72873058921598,16204.723097875445,16926.821841972385
"Temp=500.0, RF=0.05, Tabu=5",80,16526.685436230262,16574.85374866082,257.11646783704373,16156.437722544919,16896.933149915603
"Temp=500.0, RF=0.05, Tabu=5",81,16487.10674173543,16536.486788275568,263.584553981069,16107.544984002692,16866.66849946817
"Temp=500.0, RF=0.05, Tabu=5",82,16447.036386439417,16497.64321968677,270.1329890212937,16058.044882248754,16836.02789063008
"Temp=500.0, RF=0.05, Tabu=5",83,16406.47437034223,16458.323042894433,276.7617729577173,16007.937417283116,16805.01132340134
"Temp=500.0, RF=0.05, Tabu=5",84,16365.420693443864,16418.526257898553,283.4709057903406,15957.222589105773,16773.618797781954
"Temp=500.0, RF=0.05, Tabu=5",85,16323.87535574432,16378.252864699129,290.26038751916263,15905.900397716725,16741.850313771913
"Temp=500.0, RF=0.05, Tabu=5",86,16281.838357243594,16337.502863296158,297.13021814418283,15853.97084311597,16709.705871371218
"Temp=500.0, RF=0.05, Tabu=5",87,16239.309697941695,16296.276253689646,304.08039766540327,15801.433925303514,16677.185470579876
"Temp=500.0, RF=0.05, Tabu=5",88,16196.289377838615,16254.573035879592,311.1109260828226,15748.28964427935,16644.28911139788
"Temp=500.0, RF=0.05, Tabu=5",89,16152.77739693436,16212.393209865992,318.22180339644,15694.538000043487,16611.016793825234
"Temp=500.0, RF=0.05, Tabu=5",90,16108.773755228924,16169.73677564885,325.4130296062584,15640.178992595911,16577.368517861934
"Temp=500.0, RF=0.05, Tabu=5",91,16064.278452722312,16126.603733228163,332.6846047122743,15585.212621936636,16543.344283507988
"Temp=500.0, RF=0.05, Tabu=5",92,16019.29148941452,16082.994082603933,340.03652871448895,15529.638888065656,16508.944090763383
"Temp=500.0, RF=0.05, Tabu=5",93,15973.812865305552,16038.90782377616,347.468801612904,15473.45779098297,16474.167939628132
"Temp=500.0, RF=0.05, Tabu=5",94,15927.842580395407,15994.344956744844,354.98142340751787,15416.66933068858,16439.01583010223
"Temp=500.0, RF=0.05, Tabu=5",95,15881.38063468408,15949.305481509982,362.57439409833046,15359.273507182483,16403.487762185676
"Temp=500.0, RF=0.05, Tabu=5",96,15834.427028171578,15903.789398071578,370.2477136853419,15301.270320464686,16367.58373587847
"Temp=500.0, RF=0.05, Tabu=5",97,15786.981760857894,15857.796706429632,378.00138216855305,15242.659770535178,16331.30375118061
"Temp=500.0, RF=0.05, Tabu=5",98,15739.044832743035,15811.327406584141,385.83539954796225,15183.44185739397,16294.6478080921
"Temp=500.0, RF=0.05, Tabu=5",99,15690.616243826998,15764.381498535107,393.7497658235718,15123.616581041055,16257.615906612942
"Temp=500.0, RF=0.05, Tabu=10",0,18100.0,18100.0,0.0,18100.0,18100.0
"Temp=500.0, RF=0.05, Tabu=10",1,18099.791048135492,18099.766138933526,0.04480459516530372,18099.726529518455,18099.85556675253
"Temp=500.0, RF=0.05, Tabu=10",2,18099.164192541968,18099.0645557341,0.17921838066564882,18098.90611807381,18099.422267010126
"Temp=500.0, RF=0.05, Tabu=10",3,18098.119433219425,18097.89525040173,0.40324135649660137,18097.538765666068,18098.70010077278
"Temp=500.0, RF=0.05, Tabu=10",4,18096.65677016786,18096.258222936405,0.7168735226588355,18095.624472295232,18097.68906804049
"Temp=500.0, RF=0.05, Tabu=10",5,18094.77620338729,18094.153473338134,1.120114879155437,18093.163237961307,18096.38916881327
"Temp=500.0, RF=0.05, Tabu=10",6,18092.477732877695,18091.581001606915,1.6129654259826458,18090.15506266428,18094.80040309111
"Temp=500.0, RF=0.05, Tabu=10",7,18089.761358639083,18088.540807742746,2.1954251631438675,18086.599946404156,18092.92277087401
"Temp=500.0, RF=0.05, Tabu=10",8,18086.627080671456,18085.032891745625,2.8674940906373996,18082.497889180937,18090.756272161976
"Temp=500.0, RF=0.05, Tabu=10",9,18083.07489897481,18081.057253615556,3.629172208462567,18077.848890994625,18088.300906954995
"Temp=500.0, RF=0.05, Tabu=10",10,18079.104813549147,18076.61389335254,4.480459516620045,18072.652951845215,18085.55667525308
"Temp=500.0, RF=0.05, Tabu=10",11,18074.716824394472,18071.702810956573,5.421356015110861,18066.910071732713,18082.523577056232
"Temp=500.0, RF=0.05, Tabu=10",12,18069.910931510778,18066.324006427658,6.451861703932285,18060.620250657117,18079.20161236444
"Temp=500.0, RF=0.05, Tabu=10",13,18064.687134898064,18060.477479765792,7.571976583087722,18053.783488618417,18075.59078117771
"Temp=500.0, RF=0.05, Tabu=10",14,18059.045434556334,18054.16323097098,8.78170065257547,18046.399785616624,18071.691083496044
"Temp=500.0, RF=0.05, Tabu=10",15,18052.985830485588,18047.381260043214,10.081033912394853,18038.469141651738,18067.502519319438
"Temp=500.0, RF=0.05, Tabu=10",16,18046.508322685822,18040.1315669825,11.469976362546547,18029.991556723755,18063.02508864789
"Temp=500.0, RF=0.05, Tabu=10",17,18039.612911157044,18032.414151788842,12.948528003031578,18020.96703083268,18058.25879148141
