Température Initiale,Facteur Réaction,Durée Tabou,Coût Final Moyen,Écart-Type Coût,Temps Moyen (s),Nombre Répétitions
500.0,0.05,5,15690.616243826998,393.7497658235718,10.0,3
500.0,0.05,10,16052.062775952223,439.12983722391556,10.0,3
500.0,0.05,20,16106.429440248137,352.3432744115975,10.0,3
500.0,0.1,5,16107.993884965554,477.8563241260483,10.0,3
500.0,0.1,10,16315.36294970112,644.1543713639788,10.0,3
500.0,0.1,20,15979.962860976235,365.1776492003964,10.0,3
500.0,0.2,5,16086.744262512273,414.72955140305487,10.0,3
500.0,0.2,10,16011.95920445709,40.3669199874543,10.0,3
500.0,0.2,20,16037.07493186096,516.2104886565178,10.0,3
1000.0,0.05,5,16360.85316946517,389.43875409727275,10.0,3
1000.0,0.05,10,16116.216195867595,541.6275194085212,10.0,3
1000.0,0.05,20,16609.85877753243,307.7255133157181,10.0,3
1000.0,0.1,5,16009.564686325835,468.9684419554476,10.0,3
1000.0,0.1,10,16098.22170495895,273.7078273175287,10.0,3
1000.0,0.1,20,16684.411598827744,440.5870214952499,10.0,3
1000.0,0.2,5,15717.977234734935,220.92999774527638,10.0,3
1000.0,0.2,10,15895.316525763663,228.0544425562544,10.0,3
1000.0,0.2,20,16995.66105631075,248.84411923112515,10.0,3
2000.0,0.05,5,16268.78199110637,132.47466481550669,10.0,3
2000.0,0.05,10,16518.578084383695,299.05018356849257,10.0,3
2000.0,0.05,20,17328.55636386265,658.1817491802241,10.0,3
2000.0,0.1,5,16792.338757768357,443.69411528416396,10.0,3
2000.0,0.1,10,16655.6428294514,584.4773971629778,10.0,3
2000.0,0.1,20,16922.67594828418,554.9166738495676,10.0,3
2000.0,0.2,5,16897.14077531114,487.25558923844886,10.0,3
2000.0,0.2,10,16989.77501487593,480.7872484757928,10.0,3
2000.0,0.2,20,16829.83068194867,341.75472177498443,10.0,3
